,latitude,longitude
0,41.0,-75.36
1,42.25,-84.76
2,37.4121693,-121.9603311
3,36.8919707,-76.3024626
4,40.72,-84.09
5,44.42,-68.51
7,42.97,-71.43
8,32.399596,-99.7510574
9,64.82,-147.71
10,34.2587827,-118.4321147
11,35.09,-106.66
12,35.2,-109.33
13,35.07,-98.24
14,36.8023137,-119.7417819
15,43.8,-120.55
16,27.2273935,-98.0485892
17,35.08,-84.91
18,40.2,-80.25
19,42.39,-83.61
20,25.6911793,-80.4342276
21,35.43,-82.5
22,43.6920152,-116.4932909
23,34.5526848,-112.4697535
24,32.52,-95.41
25,29.5666898,-98.0499022
26,30.3684481,-97.6939689
27,43.37,-124.22
28,47.3754608,-122.300098
29,30.83,-83.28
30,32.6280691,-96.9083501
31,34.1806736,-84.5037476
32,30.3215072,-97.7109152
33,35.8348313,-81.4596575
34,33.8399796,-84.5921381
35,36.334592,-82.1543251
36,39.6960384,-105.727429
37,34.0112137,-86.0548399
38,44.863247,-87.899428
39,35.2479512,-79.1052279
40,41.5744949,-90.6002218
41,40.0199911,-82.9107801
42,25.878014,-80.2264892
43,29.8870749,-81.3275134
44,46.6906502,-68.0122837
45,39.4003234,-76.5998728
46,47.4210724,-120.3459199
47,35.8443776,-90.6532122
48,35.18,-89.84
49,38.5,-80.76
50,40.7864729,-74.0131166
51,34.0136935,-81.1112453
52,30.4,-86.6
53,29.3455067,-98.5998802
54,28.0929713,-81.9055901
55,41.7963722,-88.2019054
56,34.0577474,-118.2941517
57,34.1083226,-117.291899
58,28.92,-98.55
59,41.4654141,-81.6166876
60,33.81,-109.96
61,36.6106553,-121.8536095
62,40.5305765,-105.0107537
63,37.2577204,-77.3471744
64,47.401731,-122.2878888
65,33.5333509,-101.8628788
66,37.05,-84.1
67,28.44,-82.6
68,35.2947683,-80.4305649
69,35.74,-79.48
70,26.6477978,-82.0130978
71,45.7967171,-108.5039883
72,36.2629625,-80.3718761
73,31.3554127,-109.5794328
74,33.5967475,-112.0304723
75,38.7044656,-93.2353653
76,30.4126663,-84.3092333
77,41.135702,-104.7870356
78,42.272612,-88.9702673
79,38.7897363,-97.5575657
80,30.2358595,-97.7142455
81,32.08,-92.66
82,43.01,-123.31
83,34.3004063,-84.4649174
84,37.6909754,-97.4776876
85,29.2001184,-99.7879345
86,40.7209899,-74.0816255
87,45.7660572,-108.552157
88,36.6940378,-101.4923645
89,32.7526839,-111.6798502
90,40.3031577,-80.3021366
91,32.49,-91.98
92,33.66,-97.37
93,34.46,-81.96
94,36.08,-87.38
95,39.1910293,-84.2502075
96,42.72,-87.79
97,38.2478837,-85.8117992
98,29.5732156,-95.0362705
99,36.7808943,-119.8310168
100,37.77,-122.39
101,33.8461425,-84.5787527
102,40.0346391,-75.5280654
103,39.55,-81.64
104,37.77,-122.39
105,29.8802498,-95.2942834
106,33.8407177,-84.369887
107,28.5598206,-81.4304948
108,33.3733905,-111.9631593
109,38.41,-86.11
110,36.8657086,-88.3562911
111,43.0487928,-87.9339302
112,35.46,-94.81
113,42.3130622,-71.0662925
114,41.2649642,-81.0850959
115,26.7085571,-80.0588131
116,40.8186198,-73.8891661
117,36.173646,-95.928044
118,32.7110538,-114.6258665
119,28.060922,-82.484705
120,30.3567903,-96.8250525
121,40.8384608,-73.9017474
122,32.7718634,-80.2706155
123,36.1564396,-94.1437882
124,32.7718634,-80.2706155
125,32.7718634,-80.2706155
126,25.9863008,-80.1251791
127,47.4240248,-120.3140467
128,30.53,-97.72
129,35.7472178,-78.6016219
130,36.73,-110.25
131,34.864951,-118.1753041
132,29.6247195,-95.6442079
133,34.29,-86.23
134,34.1720738,-79.4004356
135,47.33,-122.3
136,33.93,-118.17
137,33.8328934,-84.3569638
138,39.7,-84.23
139,39.3183522,-76.470604
140,30.75,-88.09
141,34.0467168,-118.2485783
142,39.33,-94.76
143,31.439749,-85.6438849
144,35.9154488,-119.0537847
145,32.0395192,-102.1164969
146,42.38889,-87.83568
147,32.9055484,-97.5435216
148,32.7555155,-80.4510766
149,33.9736353,-84.1232319
150,32.3020048,-90.1770758
151,41.84,-73.91
152,33.66,-84.63
153,34.2717228,-118.7788542
154,45.82,-94.41
155,30.1490302,-81.7555326
156,28.3256965,-81.4705572
157,29.7626172,-95.2697001
158,42.01,-71.51
159,40.3779221,-104.7484648
160,42.50211,-82.9630323
161,38.1614892,-75.6901471
162,39.8354212,-86.1046979
163,45.2344772,-122.809767
164,35.2257144,-101.7931106
165,29.832514,-90.9437042
166,38.947268,-77.0237385
167,39.5598423,-76.3713155
168,47.7986678,-122.3324776
169,30.2260123,-81.7631254
170,46.3713358,-102.3190696
171,35.3249277,-119.0203364
172,38.9547193,-77.0610014
173,47.4906293,-92.8775728
174,40.9337802,-73.8913788
175,29.6650251,-95.1928706
176,34.9,-85.15
177,39.1353643,-121.5444678
178,36.6202891,-95.161583
