,bin,OCURRED,LAG
0,1,06/23/22,0
1,2,06/22/22,0
2,3,06/22/22,0
3,4,06/21/22,0
4,5,06/21/22,0
5,6,06/21/22,0
7,7,06/20/22,0
8,8,06/20/22,0
9,9,06/20/22,0
10,10,06/19/22,0
11,11,06/19/22,0
12,12,06/19/22,0
13,13,06/19/22,0
14,14,06/18/22,0
15,15,06/18/22,0
16,16,06/18/22,0
17,17,06/16/22,0
18,18,06/16/22,0
19,19,06/16/22,0
20,20,06/15/22,0
21,21,06/15/22,0
22,22,06/15/22,0
23,23,06/15/22,0
24,24,06/15/22,0
25,25,06/14/22,0
26,26,06/14/22,0
27,27,06/14/22,0
28,28,06/13/22,0
29,29,06/13/22,0
30,30,06/13/22,0
31,31,06/13/22,0
32,32,06/12/22,0
33,33,06/12/22,0
34,34,06/11/22,0
35,35,06/10/22,0
36,36,06/10/22,0
37,37,06/09/22,0
38,38,06/09/22,0
39,39,06/09/22,0
40,40,06/08/22,0
41,41,06/07/22,0
42,42,06/06/22,0
43,43,06/05/22,0
44,44,06/05/22,0
45,45,06/04/22,0
46,46,06/04/22,0
47,47,06/04/22,0
48,48,06/03/22,0
49,49,06/03/22,0
50,50,06/03/22,0
51,51,06/03/22,0
52,52,06/03/22,0
53,53,06/03/22,0
54,54,06/03/22,0
55,55,06/03/22,0
56,56,06/02/22,0
57,57,06/02/22,0
58,58,06/02/22,0
59,59,06/02/22,0
60,60,06/02/22,0
61,61,06/01/22,0
62,62,06/01/22,0
63,63,06/01/22,0
64,64,06/01/22,0
65,65,06/01/22,0
66,66,05/31/22,0
67,67,05/31/22,0
68,68,05/31/22,0
69,69,05/30/22,0
70,70,05/30/22,0
71,71,05/30/22,0
72,72,05/29/22,0
73,73,05/29/22,0
74,74,05/29/22,0
75,75,05/29/22,0
76,76,05/28/22,0
77,77,05/28/22,0
78,78,05/28/22,0
79,79,05/27/22,0
80,80,05/26/22,0
81,81,05/25/22,0
82,82,05/25/22,0
83,83,05/25/22,0
84,84,05/25/22,0
85,85,05/24/22,0
86,86,05/24/22,0
87,87,05/23/22,0
88,88,05/23/22,0
89,89,05/23/22,0
90,90,05/21/22,0
91,91,05/21/22,0
92,92,05/21/22,0
93,93,05/21/22,0
94,94,05/21/22,0
95,95,05/20/22,0
96,96,05/20/22,0
97,97,05/20/22,0
98,98,05/19/22,0
99,99,05/19/22,0
100,100,05/19/22,0
101,34,05/19/22,0
102,101,05/19/22,0
103,102,05/19/22,0
104,100,05/19/22,0
105,103,05/18/22,0
106,104,05/18/22,0
107,105,05/18/22,0
108,106,05/18/22,0
109,107,05/16/22,0
110,108,05/16/22,0
111,109,05/15/22,0
112,110,05/14/22,0
113,111,05/14/22,0
114,112,05/14/22,0
115,113,05/13/22,0
116,114,05/13/22,0
117,115,05/10/22,0
118,116,05/10/22,0
119,117,05/10/22,0
120,118,05/10/22,0
121,119,05/10/22,0
122,120,05/08/22,0
123,121,05/08/22,0
124,120,05/08/22,0
125,120,05/08/22,0
126,122,05/07/22,0
127,123,05/07/22,0
128,124,05/07/22,0
129,125,05/07/22,0
130,126,05/06/22,0
131,127,05/06/22,0
132,128,05/06/22,0
133,129,05/05/22,0
134,130,05/05/22,0
135,131,05/04/22,0
136,132,05/04/22,0
137,133,05/04/22,0
138,134,05/04/22,0
139,135,05/04/22,0
140,136,05/03/22,0
141,137,05/03/22,0
142,138,05/03/22,0
143,139,05/02/22,0
144,140,05/01/22,0
145,141,05/01/22,0
146,142,05/01/22,0
147,143,05/01/22,0
148,144,05/01/22,0
149,145,04/30/22,0
150,146,04/30/22,0
151,147,04/29/22,0
152,148,04/29/22,0
153,149,04/28/22,0
154,150,04/28/22,0
155,151,04/28/22,0
156,152,04/27/22,0
157,153,04/27/22,0
158,154,04/27/22,0
159,155,04/26/22,0
160,156,04/26/22,0
161,157,04/25/22,0
162,158,04/25/22,0
163,159,04/25/22,0
164,160,04/25/22,0
165,161,04/24/22,0
166,162,04/23/22,0
167,163,04/23/22,0
168,164,04/22/22,0
169,165,04/21/22,0
170,166,04/21/22,0
171,167,04/20/22,0
172,168,04/20/22,0
173,169,04/20/22,0
174,170,04/20/22,0
175,171,04/19/22,0
176,172,04/19/22,0
177,173,04/19/22,0
178,174,04/18/22,0
179,175,04/18/22,0
180,176,04/17/22,0
181,177,04/16/22,0
182,178,04/16/22,0
183,179,04/16/22,0
184,180,04/15/22,0
185,181,04/14/22,0
186,182,04/14/22,0
187,183,04/14/22,0
188,184,04/14/22,0
189,185,04/14/22,0
190,186,04/14/22,0
191,187,04/14/22,0
192,188,04/14/22,0
193,189,04/13/22,0
194,190,04/13/22,0
195,191,04/12/22,0
196,192,04/11/22,0
197,193,04/11/22,0
198,190,04/11/22,0
199,194,04/11/22,0
200,195,04/10/22,0
201,196,04/09/22,0
202,197,04/09/22,0
203,198,04/09/22,0
204,199,04/09/22,0
205,200,04/09/22,0
206,201,04/09/22,0
207,202,04/07/22,0
208,203,04/07/22,0
209,204,04/07/22,0
210,205,04/07/22,0
211,206,04/07/22,0
212,207,04/07/22,0
213,208,04/07/22,0
214,209,04/07/22,0
215,210,04/07/22,0
216,210,04/07/22,0
217,211,04/06/22,0
218,212,04/06/22,0
219,213,04/06/22,0
220,214,04/06/22,0
221,215,04/06/22,0
222,216,04/06/22,0
223,217,04/05/22,0
224,218,04/05/22,0
225,219,04/05/22,0
226,220,04/05/22,0
227,221,04/05/22,0
228,222,04/04/22,0
229,223,04/04/22,0
230,224,04/04/22,0
231,225,04/04/22,0
232,226,04/03/22,0
233,227,04/03/22,0
234,228,04/03/22,0
235,229,04/02/22,0
236,230,04/02/22,0
237,77,04/02/22,0
238,231,04/02/22,0
239,232,04/01/22,0
240,233,04/01/22,0
241,234,04/01/22,0
242,235,04/01/22,0
243,236,04/01/22,0
244,237,04/01/22,0
245,238,04/01/22,0
246,239,03/31/22,0
247,240,03/31/22,0
248,241,03/31/22,0
249,242,03/31/22,0
250,243,03/31/22,0
251,244,03/30/22,0
252,245,03/30/22,0
253,246,03/29/22,0
254,247,03/29/22,0
255,248,03/29/22,0
256,249,03/29/22,0
257,250,03/29/22,0
258,251,03/29/22,0
259,252,03/29/22,0
260,253,03/28/22,0
261,254,03/27/22,0
262,255,03/27/22,0
263,256,03/27/22,0
264,257,03/27/22,0
265,258,03/26/22,0
266,259,03/26/22,0
267,260,03/26/22,0
268,260,03/26/22,0
269,83,03/26/22,0
270,261,03/26/22,0
271,195,03/26/22,0
272,262,03/26/22,0
273,263,03/25/22,0
274,264,03/25/22,0
275,258,03/25/22,0
276,265,03/24/22,0
277,266,03/23/22,0
278,267,03/23/22,0
279,268,03/22/22,0
280,269,03/22/22,0
281,270,03/21/22,0
282,271,03/21/22,0
283,272,03/21/22,0
284,273,03/20/22,0
285,274,03/19/22,0
286,275,03/19/22,0
287,276,03/19/22,0
288,277,03/19/22,0
289,278,03/19/22,0
290,279,03/19/22,0
291,280,03/19/22,0
292,281,03/18/22,0
293,282,03/18/22,0
294,283,03/18/22,0
295,284,03/17/22,0
296,285,03/17/22,0
297,254,03/17/22,0
298,286,03/16/22,0
299,287,03/16/22,0
300,288,03/15/22,0
301,289,03/15/22,0
302,290,03/15/22,0
303,291,03/15/22,0
304,292,03/14/22,0
305,293,03/14/22,0
306,294,03/14/22,0
307,295,03/14/22,0
308,296,03/14/22,0
309,297,03/14/22,0
310,298,03/13/22,0
311,299,03/13/22,0
312,300,03/12/22,0
313,301,03/12/22,0
314,302,03/12/22,0
315,303,03/12/22,0
316,304,03/12/22,0
317,305,03/12/22,0
318,306,03/11/22,0
319,307,03/11/22,0
320,308,03/11/22,0
321,309,03/11/22,0
322,310,03/11/22,0
323,311,03/11/22,0
324,312,03/09/22,0
325,313,03/09/22,0
326,98,03/09/22,0
327,314,03/08/22,0
328,315,03/08/22,0
329,316,03/07/22,0
330,317,03/07/22,0
331,318,03/06/22,0
332,319,03/06/22,0
333,320,03/06/22,0
334,321,03/06/22,0
335,322,03/05/22,0
336,323,03/05/22,0
337,324,03/04/22,0
338,325,03/03/22,0
339,326,03/03/22,0
340,327,03/03/22,0
341,328,03/03/22,0
342,329,03/03/22,0
343,330,03/03/22,0
344,331,03/03/22,0
345,332,03/02/22,0
346,333,03/02/22,0
347,334,03/02/22,0
348,335,03/02/22,0
349,336,03/01/22,0
350,337,03/01/22,0
351,338,03/01/22,0
352,339,02/28/22,0
353,340,02/28/22,0
354,341,02/27/22,0
355,103,02/27/22,0
356,342,02/26/22,0
357,343,02/26/22,0
358,122,02/26/22,0
359,344,02/25/22,0
360,345,02/25/22,0
361,346,02/25/22,0
362,347,02/25/22,0
363,347,02/25/22,0
364,348,02/24/22,0
365,349,02/24/22,0
366,350,02/23/22,0
367,351,02/23/22,0
368,352,02/23/22,0
369,353,02/23/22,0
370,354,02/23/22,0
371,355,02/23/22,0
372,356,02/23/22,0
373,357,02/22/22,0
374,358,02/22/22,0
375,359,02/22/22,0
376,360,02/22/22,0
377,361,02/22/22,0
378,362,02/21/22,0
379,363,02/21/22,0
380,255,02/20/22,0
381,364,02/20/22,0
382,167,02/19/22,0
383,365,02/19/22,0
384,366,02/19/22,0
385,367,02/19/22,0
386,368,02/19/22,0
387,369,02/18/22,0
388,370,02/17/22,0
389,371,02/17/22,0
390,372,02/17/22,0
391,373,02/17/22,0
392,374,02/17/22,0
393,375,02/17/22,0
394,376,02/16/22,0
395,377,02/16/22,0
396,378,02/16/22,0
397,286,02/16/22,0
398,379,02/16/22,0
399,380,02/16/22,0
400,381,02/15/22,0
401,382,02/15/22,0
402,383,02/15/22,0
403,384,02/15/22,0
404,385,02/15/22,0
405,338,02/15/22,0
406,349,02/14/22,0
407,386,02/14/22,0
408,387,02/14/22,0
409,388,02/13/22,0
